name,modrinth,curseforge,description
,QnuhhrEb,,"🔥 Cobblemon.gg - Ultimativer Pokemon-Erlebnis! Willkommen bei Cobblemon.gg, Ihrem erstklassigen Ziel für ein unvergleichliches Minecraft – Cobblemon – Pokémon-Erlebnis!"
,qusMP4Bj,,Ein soziales Spiel zum Mordfall im Zug
,py9uozed,,"Das Horizons Project ist ein Modpack, das für rubius erstellt wurde. Veröffentlicht, damit andere ebenfalls die gleiche Erfahrung genießen können."
,y7tVcQjg,,"Wahnsinnige Grafik, wahnsinnige Physik, sogar spielbar in VR, perfekt. Optimiere dein Minecraft, damit es wie die 'Wahnsinnige Grafik'-TikToks aussieht, die du vielleicht gesehen hast."
,m2PsjPTL,,"Ein Modpack über Superhelden, Magie und Technologie!"
,B37WQ89b,,Version 1.21.1 | Vanilla+ Erlebnis mit dem Spieler im Fokus | Eine neue Ära von besserem MC!
,xlldJYiz,,"Du bist auf einer Expedition, aber dein Unterschlupf scheint verlassen zu sein. Da er zusammenbricht, kannst du in der alaskischen Wildnis überleben? Sammle Vorräte, halte dich warm und werde nicht zur nächsten Mahlzeit für einen Bären."
,23niDfW7,,"Eine modifizierte Version von Flowstates Better Adventures+ Modpack, die einige Mods hinzufügt, die den Geist des Originals bewahren, während zusätzliche Inhalte, Funktionen und Strukturen hinzugefügt werden."
,Qx4KOI2G,,[1.20.1] RLCraft neu erstellt für moderne Minecraft-Versionen! Enthält (fast) alle Funktionen des ursprünglichen Modpacks.
,fom4Ovsz,,"Leichtgewichtiges Create-Modpack auf NeoForge, optimiert für flüssiges Automatisierungs-Gameplay."
,1q7QX7Ne,,Ein kompaktes und ultimatives Optimierungs-Modpack! Mit vollständiger plattformübergreifender Unterstützung für alle Versionen.
,B3qfdQCh,,"Optimiert Minecraft für bessere Leistung, höhere FPS, weniger Lag und flüssigeres Gameplay. 1.21.9-1.21.10 Beta"
,dYK1xPDO,,"Ein Horror-Überlebens-Modpack, das für Forge 1.20.1 erstellt wurde. Stalker, Bewohner, verfluchte Strukturen und eine Welt, die dich niemals sicher fühlen lässt."
,PhgBGZtJ,,"Ein Traummodpack für Create-Spieler, nur Optimierungsmods und Create-Mods."
,ehPxCT2J,,"[26.1 verfügbar] Steigere die FPS, reduziere Lag, beschleunige Ladezeiten und spare Ressourcen mit diesem Modpack! Perfekt für Low-End-Computer. Keine Extra-Mods, nur reine Leistungsverbesserung."
,jMjQOK0C,,Attack on Titan in Minecraft! Shingeki no Craft: Offizielles Modpack!
,XAuN8CD3,,"Pokémon in Minecraft! Spiele das Cobblemon-Mod am besten mit diesem Server-Modpack für Cobblemon Islands. Der im Pack enthaltene Server hat JEDEN Pokemon-Modell, Megas, Z-Bewegungen, Terastallisierung, Raids, Expeditionen, Dens und mehr!"
,3W4mv2wu,,"Dieses Modpack ist für Hypixel Bedwars/Duels gedacht und hilft dir, mehr FPS für ein flüssigeres Gameplay zu bekommen."
,JMy1PlL1,,"Create-Modpack, das von Shalz in seiner One-Block-Survival-Creates-Reihe verwendet wird."
,WeGC6tLm,,Ein Modpack voller der wichtigsten FPS-Booster der Community. Perfekt für Low-End-Laptops und Computer. Es ermöglicht auch das Ausführen von Shadern mit kaum oder gar keinem Lag.
