name,modrinth,curseforge,description
,t1tOiUHZ,,一个简单、优化的原版增强包，仅包含 Create（及其附加组件）。现已加入 Create: Aeronautics！
,uPkIzDYf,,一个令人毛骨悚然的恐怖整合包
,HghLSUi5,,已优化并翻译成葡萄牙语（巴西）的模组，旨在配合 Pojav 在移动端运行 Cobblemon。
,yiYYuulE,,一个稳定、100% 可用的整合包，用于实现 Distant Horizons 与 Iris Shaders 的兼容性。
,Mo0nlQxI,,一个轻量级整合包，让你在使用 Lunar Client 和 Simple Voice Chat 的情况下，立即与好友进入同一个世界。
,mHMxXbIu,,Cobblemon 模组的官方整合包，适用于 NeoForge！
,5rDdTb9b,,恐怖整合包，为游戏添加了多种居民、赫伯林以及众多恐怖和沉浸机制
,7ude6Ebx,,Jornadas Cobblemon 服务器的官方整合包。
,aOOJ2mte,,基于 (Neo)Forge 的性能优化模组整合包
,ougHSXcz,,你被抛入一个被寄生生物占据的后核世界，这些生物专注于吞噬人类仅存的残余。当你为了生存而与这些可怕的寄生虫不懈的攻击作斗争时，这个世界将把你推向极限。
,L9xxumt0,,专为 PojavLauncher 优化的设计 ✉️公告板✉️ 支持 Minecraft 1.21.1 支持 Minecraft 1.21 支持 Minecraft 1.20.6 更新 Minecraft 1.20.4 更新 Minecraft 1.20.2 更新 Minecraft 1.20.1 2024.8.17
,BHtwz1lb,,面向 Fabric 的 OptiFine 功能 —— 由 Fabric 优化和现代 Minecraft 性能模组驱动。即使在低端系统上也能保持高帧率。26.2 测试版！
,g9O0WaGR,,延续经典主机版体验，并融入了现代 Java 版内容和生活质量提升！（官方 Legacy4J 项目）
,8fxQRGcg,,优化 PojavLauncher 性能的最佳整合包！适用于所有版本
,cqIwxyhH,,专为在 Lunar Client 上游玩 Wynncraft 而定制的流行模组列表，以提升您的游戏体验。
,uvlobdYF,,一个以机械动力和社交互动为核心的整合包，通过机械设备与你朋友一起创造快乐的世界。体验更浓厚的科技机械之美。
,KHwMgdkE,,Minecraft 最佳后室体验
,6HvKwSky,,欢迎来到 Homestead，一个充满任务、生机勃勃的风景和无尽建造可能性的手工打造世界。安顿下来，探索并创造你一直梦想的舒适生活！
,PITslCIA,,专为在 Lunar Client 上游玩 MCC 岛屿而定制的流行模组列表，以提升您的游戏体验。
,Pwyu7to9,,Create 玩家的必备整合包，轻便、快速、小巧！
,IDrxZk6D,,你唯一需要的性能优化整合包。
,tT6OXNXX,,BlockFront 模组的官方整合包
,cJJdkNYP,,带有部分原版增强功能的天空岛服务器端整合包
,u76hn1pF,,在受驱动程序限制的系统上，Vulkan渲染器比Sodium提供高出43%的性能。零冗余。
,paoFU4Vl,,mc26.2 alpha - Fabric 的现代化开源 OptiFine 替代品
,wleDCmw2,,通过这款 Cobblemon Pokemania 整合包体验最佳的 Cobblemon！本包内含服务器提供所有宝可梦模型，以及超级进化、Z招式、太晶化、团体战、装饰品等等！
,ddF4bxsz,,🪽 极致性能，消除卡顿，在不破坏原版的情况下加速一切。使用 Sodium、Vulkan、Embeddium 和 Nothirium。曾名为 Wing。
,lz3ryGPQ,,一款让 Minecraft 回归本真面貌的整合包，让你重新享受游戏的乐趣。
,tlWx9npV,,沉浸在令人印象深刻的逼真恐龙世界中，体验真正的史前冒险！
,22jj8tHD,,为提升性能和改善游戏体验而设计的 Minecraft 最佳优化整合包之一。
,SzFfKsVP,,一个利用官方英雄包（HeroPacks）的 FiskHeroes / Fisk's SuperHeroes 模组服务器。
,8xOSkvVU,,本整合包旨在在原版游戏中重现 Minecraft 宣传视频中令人惊叹的视觉效果。
,BYN9yKrV,,mc26.2 alpha - Fabric 的轻量级开源性能整合包
,CZmX2vbs,,补全了缺失功能的 Cobblemon！包含宝可梦城镇、可骑乘宝可梦、超级进化、道馆馆主、宝可梦毛绒玩具等更多内容！
,kTa7HfI5,,Fabric 平台的官方 Conquest Reforged 整合包！
,JR0bkFKa,,小巧但高效的 PVP 整合包。
,UeU522Qh,,热门玩法“震撼100天”的高清重制版，独特且与众不同！
,6jLwq7KU,,专为在 Lunar Client 上游玩 Hypixel Skyblock 而定制的人气模组列表，以提升您的游戏体验。
,MQkboJhx,,Minecraft 中的驯龙高手！享受充满巨龙、维京人、地牢、驯龙高手彩蛋等的整合包！
,mvnoIGxi,,这是常规的方块生存，但加入了众多居民，带来惊悚体验（已优化）。
,mvhIfZLj,,🚀 无需多余模组即可达到最高帧率！仅含 16 个优化模组——绝无冗余！✅ 支持所有主要版本 ⚡ 适用于任何启动器安装！（指南见下方）
,p87Jiw2q,,专为各层级玩家设计，以充分利用模组内容，无论是魔法、科技还是其他。
,njITF4u1,,包含全部 1028 只宝可梦以及传说宝可梦。我们还支持超级进化。
,JV4lvByf,,[请阅读描述] 用新的 Mojang 动画和 Minecraft 官方频道的结尾替换 Minecraft 开场动画！
,8jHBWQlK,,《鬼灭之刃》是一款 RPG 整合包，适合想要成为恶魔或鬼杀队队员的玩家！
,VUmd23oG,,围绕 Create 模组打造的 Skyblock 整合包。
,jzO4AHJD,,在一个充满僵尸的世界中战斗，体验停不下来的刺激！做好准备，建造你的堡垒，在这场惊人的旅程中发挥你的生存技能！
,91tn21DV,,《咒术回战（咒术战斗）》是一款角色扮演模组包，适合想要成为术士并与诅咒战斗的玩家！
,SfTr5hl1,,Versatile 是 Luna Pixel Studios 所有模组包的组合，更多内容！
,FycBo1BI,,幸运方块挑战！幸运方块、幸运单格、幸运竞赛、幸运游戏、幸运方柱等！
,QnuhhrEb,,🔥 Cobblemon.gg - 终极宝可梦体验！欢迎来到 Cobblemon.gg，这是您无与伦比的 Minecraft – Cobblemon – 宝可梦体验的首选目的地！
,qusMP4Bj,,火车谋杀谜案社交游戏
,py9uozed,,Horizons Project 是为 rubius 创建的模组包。发布此模组包是为了让其他人也能享受同样的体验。
,y7tVcQjg,,疯狂的图形，疯狂的物理，甚至可以在 VR 中玩，完美。优化你的 Minecraft，让它像你可能在 TikTok 上看到的“疯狂图形”Minecraft 一样。
,m2PsjPTL,,一个关于超级英雄、魔法和科技的模组包！
,B37WQ89b,,版本 1.21.1 | 以玩家为中心的 Vanilla+ 体验 | 更好的 MC 新时代！
,xlldJYiz,,你正在进行一次探险，但你停留的地方似乎已被遗弃。随着它逐渐崩溃，你能在阿拉斯加的荒野中生存下来吗？收集物资，保持温暖，不要成为熊的下一顿美餐。
,23niDfW7,,Flowstate 的 Better Adventures+ 模组包的修改版本，添加了一些我认为能保留原版精神的模组，同时增加了额外内容、功能和结构。
,Qx4KOI2G,,[1.20.1] 为现代 Minecraft 版本重制的 RLCraft！包含（几乎）原版模组包的所有功能。
,fom4Ovsz,,轻量级机械动力整合包，基于最新NeoForge优化，专注自动化玩法，流畅低耗。
,1q7QX7Ne,,一款简洁且终极的优化模组包！支持所有版本的跨平台兼容。
,B3qfdQCh,,优化 Minecraft 以获得更好的性能、更高的帧率、减少延迟和更流畅的游戏体验。 1.21.9-1.21.10 测试版
,dYK1xPDO,,一个专为 Forge 1.20.1 打造的恐怖生存模组包。潜伏者、居民、被诅咒的建筑，以及一个永远不会让你感到安全的世界。
,PhgBGZtJ,,一个机械动力玩家的梦中情包，只有优化mod和机械动力mod。
,ehPxCT2J,,[26.1 可用] 使用这个模组包提升帧率、减少延迟、加快加载速度并节省资源！非常适合低端电脑。没有额外的模组，只有纯粹的性能提升。
,jMjQOK0C,,Minecraft 中的进击的巨人！Shingeki no Craft：官方模组包！
,XAuN8CD3,,Minecraft 中的宝可梦！使用此服务器模组包，在 Cobblemon Islands 上获得最佳 Cobblemon 模组体验！该服务器包含 EVERY Pokemon 模型、 Mega、Z 招式、太晶化、团体战、远征、太晶巢穴等！
,3W4mv2wu,,此模组包适用于 Hypixel Bedwars/Duels，可帮助你获得更高的 FPS，使游戏体验更加流畅。
,JMy1PlL1,,Shalz 在其 One block survival Create 模组系列中使用的 Create 模组包。
,WeGC6tLm,,一个包含社区主要 FPS 提升模组的模组包。非常适合低端笔记本电脑和电脑。它还允许运行着色器，几乎没有或没有延迟。
